2024-07-06 20:03:32,744 INFO    StreamThr :25100 [internal.py:wandb_internal():85] W&B internal server running at pid: 25100, started at: 2024-07-06 20:03:32.744663
2024-07-06 20:03:32,746 DEBUG   HandlerThread:25100 [handler.py:handle_request():158] handle_request: status
2024-07-06 20:03:32,747 INFO    WriterThread:25100 [datastore.py:open_for_write():87] open: C:\Users\uta_f\Project\dl_lecture_competition_pub\wandb\run-20240706_200332-c4w28nro\run-c4w28nro.wandb
2024-07-06 20:03:32,748 DEBUG   SenderThread:25100 [sender.py:send():379] send: header
2024-07-06 20:03:32,769 DEBUG   SenderThread:25100 [sender.py:send():379] send: run
2024-07-06 20:03:33,291 INFO    SenderThread:25100 [dir_watcher.py:__init__():211] watching files in: C:\Users\uta_f\Project\dl_lecture_competition_pub\wandb\run-20240706_200332-c4w28nro\files
2024-07-06 20:03:33,292 INFO    SenderThread:25100 [sender.py:_start_run_threads():1188] run started: c4w28nro with start time 1720263812.744663
2024-07-06 20:03:33,351 DEBUG   HandlerThread:25100 [handler.py:handle_request():158] handle_request: check_version
2024-07-06 20:03:33,351 DEBUG   SenderThread:25100 [sender.py:send_request():406] send_request: check_version
2024-07-06 20:03:33,404 DEBUG   HandlerThread:25100 [handler.py:handle_request():158] handle_request: run_start
2024-07-06 20:03:33,434 DEBUG   HandlerThread:25100 [system_info.py:__init__():26] System info init
2024-07-06 20:03:33,434 DEBUG   HandlerThread:25100 [system_info.py:__init__():41] System info init done
2024-07-06 20:03:33,434 INFO    HandlerThread:25100 [system_monitor.py:start():194] Starting system monitor
2024-07-06 20:03:33,434 INFO    SystemMonitor:25100 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-06 20:03:33,435 INFO    HandlerThread:25100 [system_monitor.py:probe():214] Collecting system info
2024-07-06 20:03:33,440 INFO    SystemMonitor:25100 [interfaces.py:start():188] Started cpu monitoring
2024-07-06 20:03:33,440 INFO    SystemMonitor:25100 [interfaces.py:start():188] Started disk monitoring
2024-07-06 20:03:33,441 INFO    SystemMonitor:25100 [interfaces.py:start():188] Started gpu monitoring
2024-07-06 20:03:33,447 INFO    SystemMonitor:25100 [interfaces.py:start():188] Started memory monitoring
2024-07-06 20:03:33,454 INFO    SystemMonitor:25100 [interfaces.py:start():188] Started network monitoring
2024-07-06 20:03:33,458 DEBUG   HandlerThread:25100 [system_info.py:probe():152] Probing system
2024-07-06 20:03:33,459 DEBUG   HandlerThread:25100 [system_info.py:_probe_git():137] Probing git
2024-07-06 20:03:33,524 DEBUG   HandlerThread:25100 [system_info.py:_probe_git():145] Probing git done
2024-07-06 20:03:33,524 DEBUG   HandlerThread:25100 [system_info.py:probe():200] Probing system done
2024-07-06 20:03:33,524 DEBUG   HandlerThread:25100 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.10.11', 'heartbeatAt': '2024-07-06T11:03:33.458395', 'startedAt': '2024-07-06T11:03:32.740175', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\uta_f\\Project\\dl_lecture_competition_pub\\main.py', 'codePathLocal': 'main.py', 'codePath': 'main.py', 'git': {'remote': 'https://github.com/Kanif318/dl_lecture_competition_pub', 'commit': '5293ad77595a7736f67207ddb68fbe1e21d01428'}, 'email': 'uta_f74@outlook.jp', 'root': 'C:/Users/uta_f/Project/dl_lecture_competition_pub', 'host': 'MoroDesktopE', 'username': 'uta_f', 'executable': 'C:\\Users\\uta_f\\.virtualenvs\\dl_lecture_competition_pub-JWry4h2n\\Scripts\\python.exe', 'cpu_count': 24, 'cpu_count_logical': 32, 'cpu_freq': {'current': 3000.0, 'min': 0.0, 'max': 3000.0}, 'cpu_freq_per_core': [{'current': 3000.0, 'min': 0.0, 'max': 3000.0}], 'disk': {'/': {'total': 934.0693321228027, 'used': 716.8465614318848}}, 'gpu': 'NVIDIA GeForce RTX 4090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}], 'memory': {'total': 31.724849700927734}}
2024-07-06 20:03:33,524 INFO    HandlerThread:25100 [system_monitor.py:probe():224] Finished collecting system info
